project_index,omniclass_element,life_cycle_stage,gwp,ep,ap,sfp,odp,nred
1,Interiors - Construction,A1-A3,1067843.4,423.69,4934.25,62130.354,0.01796267179875157,13508604.0
1,Interiors - Construction,A4,14683.0,5.43,67.89,2248.038,5.02849577839e-10,208399.5
1,Interiors - Construction,B4-B5,386143.8,379.46999999999997,2415.63,25542.511,0.0082102148712315,5201553.9
1,Interiors - Construction,C2-C4,43251.5,90.64,360.81,1613.338,1.421794502147e-09,122455.40000000001
1,Interiors - Construction,D,-505634.2,-59.410000000000004,-1637.82,-20988.788,0.0025882151570235,-5426761.1
1,Interiors - Finishes,A1-A3,974906.1,339.95,2689.37,41314.418,0.01390386687122973,15725687.0
1,Interiors - Finishes,A4,25960.4,9.74,120.3,3974.851,8.89111423435e-10,368482.4
1,Interiors - Finishes,B4-B5,1542606.6,502.29,5001.93,82476.62299999999,0.02225405355170802,27290115.0
1,Interiors - Finishes,C2-C4,79434.8,36.52,400.24,7284.036,2.4677798397007196e-06,1224598.1
1,Interiors - Finishes,D,-50318.2,-4.3500000000000005,-131.13,-1597.769,0.00031629571478539994,-491289.60000000003
1,Shell - Enclosure,A1-A3,3270549.6,525.52,15850.17,160683.103,0.1926932651632313,39015264.3
1,Shell - Enclosure,A4,31160.1,11.61,144.2,4771.071,1.067211200687e-09,442291.9
1,Shell - Enclosure,B4-B5,373942.9,101.42999999999999,1673.1599999999999,21115.959,0.00105381448717633,5905349.8
1,Shell - Enclosure,C2-C4,87906.9,17.96,225.9,4274.332,3.294470949283962e-05,732905.6
1,Shell - Enclosure,D,-992365.8,-102.3,-6011.28,-47699.182,0.0007287389013958001,-9371626.9
1,Shell - Superstructure,A1-A3,14594580.9,2747.2599999999998,51958.75,954440.156,-0.015320544616026874,127050683.8
1,Shell - Superstructure,A4,123028.7,46.31,570.04,18837.357,4.213621181703e-09,1746286.1
1,Shell - Superstructure,B4-B5,3786.9,0.77,9.86,147.321,1.78268245939e-07,48927.8
1,Shell - Superstructure,C2-C4,2442708.0,284.14,5604.16,111429.44900000001,2.22863322814666e-07,19407364.8
1,Shell - Superstructure,D,-961533.3,-58.56,-1588.87,-11981.923999999999,0.007176235223368,-8861791.2
1,Substructure,A1-A3,2325731.9,432.02,8438.56,151301.959,-0.0024837816232053003,20874152.2
1,Substructure,A4,20804.4,7.81,96.42,3185.418,7.1252749196e-10,295299.0
1,Substructure,B4-B5,35509.100000000006,6.32,137.46,1958.915,0.00044410812805000004,424502.0
1,Substructure,C2-C4,387750.8,45.15,890.76,17717.648,3.54386891278e-08,3086070.1
1,Substructure,D,-208055.6,-13.690000000000001,-360.42,-3445.067,0.00153114398171,-1924334.2
2,Shell - Enclosure,A1-A3,27578121.5,8665.11,154793.0,1682427.08,0.3827015,111987079.7
2,Shell - Enclosure,A4,142000.09999999998,113.36,808.47,22938.68,0.03775,4037672.8999999994
2,Shell - Enclosure,B4-B5,2844818.7,764.42,12963.5,328668.74,0.01,40962888.1
2,Shell - Enclosure,C2-C4,229939.0,322.66,4383.14,22818.379999999997,0.042190000000000005,3535331.2
2,Shell - Superstructure,A1-A3,64016318.900000006,61702.09,200356.33000000002,4020480.1100000003,1.395414,354727338.29999995
2,Shell - Superstructure,A4,4933850.9,3440.15,8867.150000000001,133596.59999999998,1.12198,77148288.7
2,Shell - Superstructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
2,Shell - Superstructure,C2-C4,346598.4,555.83,1797.4,5308.1900000000005,0.1616,14465570.4
2,Substructure,A1-A3,10153237.1,14417.64,50059.62,850046.36,0.39842,47841615.8
2,Substructure,A4,1330778.8,913.13,1822.14,16378.83,0.29946,18938005.8
2,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
2,Substructure,C2-C4,99910.8,103.99,509.17,52.321,0.05879,4952657.3
3,Interiors - Construction,A1-A3,42387.8,13.21,179.71,2268.821,0.00065137732410671,512614.3
3,Interiors - Construction,A4,405.1,0.09,1.83,62.029,1.387506309e-11,5750.7
3,Interiors - Construction,B4-B5,8437.6,6.45,40.33,426.774,0.0001737459274309,108270.1
3,Interiors - Construction,C2-C4,186.1,0.35,0.87,15.066999999999998,3.3882500440000003e-13,1816.8999999999999
3,Interiors - Construction,D,-24670.6,-2.27,-65.26,-831.787,0.0001427023037621,-235489.5
3,Interiors - Finishes,A1-A3,78196.1,15.52,301.55,3991.225,0.002535016401734717,1212125.1
3,Interiors - Finishes,A4,1415.5,0.46,6.390000000000001,217.169,4.85717042122e-11,20138.5
3,Interiors - Finishes,B4-B5,109389.3,20.97,424.63,6568.964,0.002311541355923006,1874141.0
3,Interiors - Finishes,C2-C4,6745.7,1.33,30.13,555.605,1.097801649797e-09,95449.90000000001
3,Interiors - Finishes,D,-5661.4,-0.48,-13.25,-189.27999999999997,4.203629915756e-05,-63203.5
3,Shell - Enclosure,A1-A3,130149.4,38.51,580.7,6590.601,0.00296709076969094,2190333.6
3,Shell - Enclosure,A4,1791.7,0.58,8.21,274.342,6.13663074377e-11,25432.2
3,Shell - Enclosure,B4-B5,57550.4,21.759999999999998,277.55,3272.404,0.00032395099516476997,987188.8
3,Shell - Enclosure,C2-C4,5012.6,7.65,35.63,425.666,7.497217366462e-10,64903.8
3,Shell - Enclosure,D,-18803.3,-2.2,-79.26,-841.459,6.6455921393e-05,-196357.1
3,Shell - Superstructure,A1-A3,821044.9,161.43,2304.0299999999997,44936.152,-0.000119721947645483,6964699.600000001
3,Shell - Superstructure,A4,7373.0,2.77,34.18,1128.941,2.5252649172e-10,104656.7
3,Shell - Superstructure,B4-B5,1399.6,0.23,4.64,64.23700000000001,8.950634903999999e-06,18027.8
3,Shell - Superstructure,C2-C4,75564.2,17.65,349.13,6943.962,1.388878100421e-08,1209491.5
3,Shell - Superstructure,D,-1817.699999999998,1.0000000000000002,14.7,878.2130000000001,3.5098767713698896e-05,-7059.49999999998
3,Substructure,A1-A3,116643.9,23.28,307.78,6414.9220000000005,-6.01094382415e-05,945632.6
3,Substructure,A4,968.8,0.35000000000000003,4.51,148.34,3.3181378e-11,13751.8
3,Substructure,B4-B5,0.0,0.0,0.0,0.0,0.0,0.0
3,Substructure,C2-C4,12249.2,2.83,56.57,1125.787,2.2516448060000002e-09,196086.9
3,Substructure,D,-3146.8,-0.07,-3.1399999999999997,64.328,2.604758099219e-05,-27868.6
3,Unknown,A1-A3,64.8,0.01,0.2,2.546,-2.95933428e-07,778.9
3,Unknown,A4,0.6,0.0,0.0,0.088,1.981562e-14,8.2
3,Unknown,B4-B5,65.4,0.01,0.2,2.636,-2.95933428e-07,787.5
3,Unknown,C2-C4,0.0,0.0,0.0,0.002,3.9868515e-15,0.3
3,Unknown,D,-64.9,-0.01,-0.13,-1.833,4.5039221439999996e-07,-609.3
4,Interiors - Construction,A1-A3,155086.4,43.6,549.29,8319.508,0.00205347542099,1373002.1
4,Interiors - Construction,A4,6467.3,2.38,29.91,990.25,2.21568206e-10,91798.8
4,Interiors - Construction,B4-B5,43353.0,25.56,246.03,2845.6059999999998,0.0014459921623,534066.5
4,Interiors - Construction,C2-C4,14065.800000000001,6.25,70.16,1196.632,2.3335145085e-09,202597.6
4,Interiors - Construction,D,-31476.6,-3.09,-124.3,-1141.636,0.000131036456188,-319543.2
4,Interiors - Finishes,A1-A3,67684.8,29.919999999999998,160.82,2530.632,0.000156374893932,1028863.4
4,Interiors - Finishes,A4,4701.599999999999,1.67,21.759999999999998,719.775,1.61004557e-10,66726.3
4,Interiors - Finishes,B4-B5,94757.7,37.69,284.18,5271.288,0.00011872335583,1695193.3
4,Interiors - Finishes,C2-C4,10253.5,2.3200000000000003,46.33,920.171,5.67155857e-09,160817.3
4,Interiors - Finishes,D,-1500.5,-0.11,-2.7199999999999998,-30.45,8.55378581e-06,-15520.8
4,Shell - Enclosure,A1-A3,1807164.4,299.34,7414.03,100785.111,0.001268830830413,20158323.3
4,Shell - Enclosure,A4,36924.8,13.83,171.06,5653.563,1.265037196e-09,524105.1
4,Shell - Enclosure,B4-B5,266952.4,76.44,1677.71,21230.389,0.00027155771573,3933653.2
4,Shell - Enclosure,C2-C4,128763.4,23.64,417.84000000000003,8232.835000000001,3.1912970905e-08,1429823.4
4,Shell - Enclosure,D,-328755.6,-29.23,-1317.86,-11796.468,0.0012740215300052,-3087481.5
